Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall
,Bachelor of Science - Business Administration - Organization and Innovation Management,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Business Administration - Real Estate,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Business Administration - Supply Chain Management,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Chemical and Biological Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Chemical and Biological Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Civil Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Civil Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Computer Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Computer Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Electrical Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Electrical Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Engineering Science,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Engineering Science,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Environmental Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Environmental Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Mechanical Engineering,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Engineering Pathway + Bachelor of Science - Mechanical Engineering,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Apparel and Merchandising,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Apparel and Merchandising,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Construction Management,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Construction Management,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Early Childhood Education,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Early Childhood Education,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Family and Consumer Sciences,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Family and Consumer Sciences,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Fermentation Science and Technology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Fermentation Science and Technology,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Health and Exercise Science,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Health and Exercise Science,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Hospitality Management,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Hospitality Management,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Human Development and Family Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Human Development and Family Studies,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Interior Architecture and Design,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Nutrition and Food Science,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Nutrition and Food Science,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Social Work,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Social Work - Social Work,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Anthropology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Anthropology,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,2-Semester General Pathway + Bachelor of Arts - Art,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Fine Arts - Art - Art Education,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Art - Art History,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Communication Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Communication Studies,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Dance,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Dance Pathway + Bachelor of Arts - Dance,"33,160.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Economics,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Business Pathway + Bachelor of Arts - Economics,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,2-Semester General Pathway + Bachelor of Arts - English,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - English - Creative Writing,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - English - English Education,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - English - Language,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - English - Literature,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,"Bachelor of Arts - English - Writing, Rhetoric, and Literacy","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Ethnic Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Ethnic Studies,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,2-Semester General Pathway + Bachelor of Fine Arts - Fine Arts,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Fine Arts - Art - Drawing,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Electronic Art,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Fibers,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Graphic Design,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Metalsmithing,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Painting,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Photo Image Making,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Pottery,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Printmaking,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Fine Arts - Art - Sculpture,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - History,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - History,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - International Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - International Studies,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - International Studies - Asian Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - International Studies - European Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - International Studies - Latin American Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - International Studies - Middle East and North African Studies,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Journalism and Media Communication,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Journalism and Media Communication,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,"Bachelor of Arts - Languages, Literatures and Cultures","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,"2-Semester Language, Literatures, and Cultures Pathway + Bachelor of Arts - Languages, Literatures and Cultures","33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,"Bachelor of Arts - Languages, Literatures and Cultures - French","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,"Bachelor of Arts - Languages, Literatures and Cultures - German","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,"Bachelor of Arts - Languages, Literatures and Cultures - Spanish","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Interdisciplinary Liberal Arts,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Interdisciplinary Liberal Arts,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Music,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Music,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,2-Semester General Pathway + Bachelor of Music - Music,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Music - Music - Composition,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Music - Music Therapy,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Philosophy,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Philosophy,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Political Science,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Political Science,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Sociology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Sociology,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Theatre,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Arts - Theatre,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Arts - Theatre - Design and Technology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Arts - Theatre - Performance,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Ecosystem Science and Sustainability,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Ecosystem Science and Sustainability,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,"Bachelor of Science - Fish, Wildlife, and Conservation Biology","30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,"2-Semester Sciences Pathway + Bachelor of Science - Fish, Wildlife, and Conservation Biology","33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Forest and Rangeland Stewardship,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Forest and Rangeland Stewardship,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Geology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Geology,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Natural Resource Tourism,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Natural Resource Tourism,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Natural Resource Tourism - Global Tourism,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,Bachelor of Science - Natural Resources Management,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester General Pathway + Bachelor of Science - Natural Resources Management,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Watershed Science,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Watershed Science,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Applied Computing Technology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Computer Science Pathway + Bachelor of Science - Applied Computing Technology,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Biochemistry,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
,2-Semester Sciences Pathway + Bachelor of Science - Biochemistry,"33,160.00",0,"Start: Jan 2020, May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,73.00%,,,,,,,,,205,,60,5.5
,Bachelor of Science - Biology,"30,495.00",0,"Start: Jan 2020, Aug 2020, Jan 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,,,,,,,,,205,,79,6.5
