Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Diploma in University Studies,0,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Diploma,Education,Studies,per year,Lincoln,English
,Diploma in Farm Management,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Diploma,Science,Farm Management,per year,Lincoln,English
,Diploma in Horticultural Management,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Diploma,Science,Horticulture,per year,Lincoln,English
,Graduate Diploma in Resource Studies,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Education,Studies,per year,Lincoln,English
,Bachelor of Agricultural Science with Honours,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Agriculture,per year,Lincoln,English
,Bachelor of Commerce with Honours - Accounting and Finance,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Accounts & Finance,per year,Lincoln,English
,Bachelor of Commerce with Honours - Food and Resource Economics,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Social Science,Economics,per year,Lincoln,English
,Bachelor of Commerce with Honours - Global Business,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Global Business,per year,Lincoln,English
,Bachelor of Commerce with Honours - Hotel and Tourism Management,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Hotel & Tourism Management,per year,Lincoln,English
,Bachelor of Commerce with Honours - Individual,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Individual,per year,Lincoln,English
,Bachelor of Commerce with Honours - Marketing,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Marketing,per year,Lincoln,English
,Bachelor of Commerce with Honours - Supply Chain Management,28500,,Feb,1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Supply Chain Management,per year,Lincoln,English
,Bachelor of Environmental Management with Honours,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Environmental Science,per year,Lincoln,English
,Bachelor of Environment and Society with Honours,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Environmental Science,per year,Lincoln,English
,Bachelor of Landscape Architecture with Honours,32000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Architecture,Landscape Architecture,per year,Lincoln,English
,Bachelor of Science with Honours - Conservation and Ecology,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Ecology,per year,Lincoln,English
,Bachelor of Science with Honours - Environmental Science,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Environmental Science,per year,Lincoln,English
,Bachelor of Science with Honours - Food Science,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Food Science,per year,Lincoln,English
,Bachelor of Science with Honours - Individual,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Individual,per year,Lincoln,English
,Bachelor of Sport and Recreation Management with Honours,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Sports Science,per year,Lincoln,English
,Bachelor of Tourism Management with Honours,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Tourism Management,per year,Lincoln,English
,Bachelor of Viticulture and Oenology with Honours,31000,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Viticulture & Oenology,per year,Lincoln,English
,Master of Precision Agriculture,49200,,Feb,1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Agriculture,per year,"Lincoln, Canterbury",English
,Master of Agricultural Science,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Agriculture,per year,Lincoln,English
,Master of Applied Science - Disaster Risk and Resilience,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Disaster Risk,per year,Lincoln,English
,Master of Applied Science - Environmental Management,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Environmental Science,per year,Lincoln,English
,Master of Applied Science - International Rural Development,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Rural Development,per year,Lincoln,English
,Master of Applied Science - Land and Society,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Land & Society,per year,Lincoln,English
,"Master of Applied Science - Parks, Recreation and Tourism",33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Parks,per year,Lincoln,English
,Master of Commerce and Management,28500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Business,Management,per year,Lincoln,English
,Master of Commerce (Agricultural),28500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Agriculture,per year,Lincoln,English
,Master of Horticultural Science,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Horticulture,per year,Lincoln,English
,Master of International Nature Conservation,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Nature,per year,Lincoln,English
,Master of Natural Resources Management and Ecological Engineering,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Resources,per year,Lincoln,English
,Master of Science - Conservation and Ecology,33500,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Ecology,per year,Lincoln,English
,Master of Water Resource Management,76800,,"Feb, Jul",2 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Water Resource Management,per year,"Lincoln, Canterbury",English
,Master of Landscape Architecture (Taught),33500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Architecture,Landscape Architecture,per year,Lincoln,English
,Master of Pest Management,45000,,"Feb, Jul",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Pest Management,per year,Lincoln,English
,Master of Wine and Viticulture,45000,,Feb,1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Viticulture,per year,Lincoln,English
,Bachelor of Agribusiness and Food Marketing,28500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Agribusiness,per year,Lincoln,English
,Bachelor of Agriculture,31000,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Agriculture,per year,Lincoln,English
,Bachelor of Agricultural Science,31000,,"Feb, Jul",4 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Agriculture,per year,Lincoln,English
,Bachelor of Commerce (Agriculture),28500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Agriculture,per year,Lincoln,English
,Bachelor of Commerce (Agriculture and Professional Accounting),28500,,"Feb, Jul",4 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Accounts,per year,Lincoln,English
,Bachelor of Environmental Management,31000,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Environmental Science,per year,Lincoln,English
,Bachelor of Environmental Policy and Planning (Honours),31000,,"Feb, Jul",4 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Social Science,Policy & Planning,per year,Lincoln,English
,Bachelor of Environment and Society,28500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Environmental Science,per year,Lincoln,English
,Bachelor of Landscape Architecture,32000,,"Feb, Jul",4 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Architecture,Landscape Architecture,per year,Lincoln,English
,Bachelor of Landscape Architecture (Graduate Entry),40000,,Feb,2 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Architecture,Landscape Architecture,per year,Lincoln,English
,Bachelor of Sport and Recreation Management,28500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Sports Science,per year,Lincoln,English
,Bachelor of Tourism Management,28500,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Business,Tourism Management,per year,Lincoln,English
,Bachelor of Viticulture and Oenology,31000,,"Feb, Jul",3 years,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Bachelor's Degree,Science,Viticulture & Oenology,per year,Lincoln,English
,Graduate Diploma in Applied Science,31000,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Science,Science,per year,Lincoln,English
,Graduate Diploma in Business and Sustainability,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Business,Business,per year,Lincoln,English
,Graduate Diploma in Commerce,28500,,"Feb, Jul",1 year,,,18,18,18,18,5.5,5.5,5.5,5.5,LINU1001,,60,6,42,42,42,42,50,Graduate Diploma,Business,Commerce,per year,Lincoln,English
,Graduate Diploma in Property Management,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Real State,Property Management,per year,Lincoln,English
,Graduate Diploma in Recreation Management,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Social Science,Recreation Management,per year,Lincoln,English
,Graduate Diploma in Tourism Management,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Business,Tourism Management,per year,Lincoln,English
,Graduate Diploma in Viticulture and Oenology,31000,,Feb,1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Science,Viticulture & Oenology,per year,Lincoln,English
,Graduate Diploma in Valuation,28500,,Feb,1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Graduate Diploma,Business,Valuation,per year,Lincoln,English
,Postgraduate Diploma in Agricultural Science,33500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Science,Agriculture,per year,Lincoln,English
,Postgraduate Diploma in Applied Science,33500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Science,Science,per year,Lincoln,English
,Postgraduate Diploma in Commerce,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Business,Commerce,per year,Lincoln,English
,Postgraduate Diploma in Environmental Management,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Science,Environmental Science,per year,Lincoln,English
,Postgraduate Diploma in Horticultural Science,33500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Science,Horticulture,per year,Lincoln,English
,Postgraduate Diploma in International Rural Development,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Social Science,Rural Development,per year,Lincoln,English
,Postgraduate Diploma in Land and Society,28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Social Science,Land & Society,per year,Lincoln,English
,"Postgraduate Diploma in Parks, Recreation and Tourism",28500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Social Science,Parks,per year,Lincoln,English
,Postgraduate Diploma in Water Resource Management,33500,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Science,Water Resource Management,per year,Lincoln,English
,Postgraduate Diploma in Disaster Risk and Resilience,33500,,Feb,1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Postgraduate Diploma,Social Science,Disaster Risk,per year,Lincoln,English
,Master of Business (Finance),42750,,"Feb, Jul, Nov",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Business,Finance,per year,Lincoln,English
,Master of Business (Global Management and Marketing),42750,,"Feb, Jul, Nov",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Business,Global Business,per year,Lincoln,English
,Master of Disaster Risk and Resilience,51900,,"Feb, Jul, Nov",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Disaster Risk,per year,Lincoln,English
,Master of Environmental Policy and Management,45000,,"Feb, Jul",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Policy & Planning,per year,Lincoln,English
,Master of International Rural Development,42750,,"Nov, Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Social Science,Rural Development,per year,Lincoln,English
,Master of Management in Agribusiness,45000,,"Feb, Jul, Nov",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Agribusiness,per year,Lincoln,English
,Master of Management in Agricultural Systems,45000,,"Feb, Jul, Nov",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Agriculture,per year,Lincoln,English
,Master of Professional Accounting (CPA),42750,,"Jul, Jan",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Business,Professional Accounting,per year,Lincoln,English
,Master of Planning,28500,,"Feb, Jul",2 years,,,,21,,18,6,6,6,6,LINU1001,,90,6.5,50,50,50,50,59,Master's Degree,Social Science,Planning,per year,Lincoln,English
,Master of Science in Food Innovation,45000,,"Feb, Jul",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Food Science,per year,Lincoln,English
,Master of Sport and Recreation Management,42750,,"Feb, Jul, Nov",1 year,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Science,Sports Science,per year,Lincoln,English
,Master of Tourism Management,42750,,"Feb, Jul, Nov",1.5 years,,,21,21,21,21,6,6,6,6,LINU1001,,80,6.5,50,50,50,50,58,Master's Degree,Business,Tourism Management,per year,Lincoln,English
,New Zealand Diploma in Hospitality Management (Level 5),21300,,"Jan, Mar, Apr, Jun, Aug, Oct",8 Month,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Business,Hospitality Management,per year,Otara,English
,New Zealand Diploma in Business - Accounting  (Level 5),21700,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Business,Accounts,per year,Manukau,English
,New Zealand Diploma in Business - Leadership and Management (Level 5),21700,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Business,Leadership & Management,per year,Manukau,English
,Bachelor of Applied Management - Accounting (Level 7),21700,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Business,Accounts,per year,Manukau,English
,Bachelor of Applied Management - Human Resource Management (Level 7),21700,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Business,HR,per year,Manukau,English
,Bachelor of Applied Management - Operations and Production Management (Level 7),21700,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Business,Production Management,per year,Manukau,English
,Bachelor of Applied Management - Project Management (Level 7),21700,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Business,Project Management,per year,Manukau,English
,Bachelor of Applied Management - Sales and Marketing (Level 7),21700,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Business,Marketing,per year,Manukau,English
,Graduate Diploma in Accounting (Level 7),21700,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Business,Accounts,per year,Manukau,English
,Graduate Diploma in Professional Accounting (Level 7),21700,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Business,Accounts,per year,Manukau,English
,Bachelor of Nursing Pacific (Level 7),24700,,"Feb, Jul",3 years,,,21,21,21,21,6.5,6.5,6.5,6.5,MANIT1001,,90,6.5,59,59,59,59,59,Bachelor's Degree,Medical,Nursing,per year,Manukau,English
,New Zealand Diploma in Yacht Operation (Level 6) Optional Strand in Master Yacht,16200,,"Apr, May, Jun",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,,Yatch Operation,per year,New Zealand Maritime School,English
,Bachelor of Nursing (Level 7),24700,,"Feb, Jul",3 years,,,21,21,21,21,6.5,6.5,6.5,6.5,MANIT1001,,90,6.5,59,59,59,59,59,Bachelor's Degree,Medical,Nursing,per year,Manukau,English
,"BACHELOR OF EDUCATION (PRIMARY, PACIFIC) (LEVEL 7)",0,,"Feb, Jul",3 years,,,100,100,100,100,7,7,7,7,MANIT1001,,100,7,65,65,65,65,65,Bachelor's Degree,Education,Education,per year,MIT Otara,English
,Bachelor of Engineering Technology (Electrical) - Mechatronics (Level 7),23700,,"Feb, Jul",3 years,,,20,20,20,20,5.5,6,5.5,6,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Engineering,Electical Engineering,per year,Otara,English
,Graduate Diploma in Engineering - Electronics (Level 7),23700,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Engineering,Electical Engineering,per year,Otara,English
,Graduate Diploma in Engineering - Power (Level 7),23700,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Engineering,Power Engineering,per year,Otara,English
,New Zealand Diploma in Early Childhood Education and Care (Field-based) (Level 5),21700,,"Feb, Jul",1 year,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Education,Education,per year,Otara,English
,New Zealand Diploma in Engineering (Civil) (Level 6),23700,,"Feb, Jul",2 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Engineering,Civil Engineering,per year,Otara,English
,Graduate Diploma in Engineering - Structural (Level 7),23700,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Engineering,Structural Engineering,per year,Otara,English
,New Zealand Diploma in Engineering (Electrical) (Level 6),23700,,"Feb, Jul",2 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Engineering,Electical Engineering,per year,Otara,English
,Bachelor of Engineering Technology (Electrical) - Electronics (Level 7),23700,,"Feb, Jul",3 years,,,20,20,20,20,5.5,6,5.5,6,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Engineering,Electical Engineering,per year,Otara,English
,Bachelor of Engineering Technology (Electrical) - Power  (Level 7),23700,,"Feb, Jul",3 years,,,20,20,20,20,5.5,6,5.5,6,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,Engineering,Electical Engineering,per year,Otara,English
,Graduate Diploma in Engineering - Mechatronics (Level 7),23700,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Engineering,Mechatronics Engineering,per year,Otara,English
,New Zealand Diploma in Engineering (Mechanical) (Level 6),23700,,"Feb, Jul",2 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Engineering,Mechanical Engineering,per year,Otara,English
,Graduate Diploma in Engineering - Mechanical (Level 7),23700,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Engineering,Mechanical Engineering,per year,Otara,English
,New Zealand Diploma in International Logistics (Freight Forwarding) (Level 5),22400,,"Feb, Jul",8 Month,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,,Logistics,per year,"Otara, Manukau",English
,Diploma in Foreign-Going Master or Chief (Level 7) (Master Foreign-Going),16200,,Feb,1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Food,Chief,per year,New Zealand Maritime School,English
,New Zealand Diploma in Marine Engineering (Level 6),16200,,Feb,2.5 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Engineering,Marine Engineering,per year,New Zealand Maritime School,English
,Diploma in Foreign-Going Master or Chief (Level 7) (Chief Engineering Foreign-Going),16200,,Jan,1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,Engineering,Chief Engineering,per year,New Zealand Maritime School,English
,New Zealand Diploma in Marine Electro-Technology (Level 6),16200,,Feb,2.5 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,IT,Marine Electro-Technology,per year,New Zealand Maritime School,English
,"New Zealand Diploma in Sport, Recreation and Exercise (Multi-sector) (Level 5)",21700,,"Feb, Jul",10 Month,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Science,Sports Science,per year,Otara,English
,New Zealand Diploma in Baking (Level 5),21300,,"Jan, May, Sep",8 Month,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Food,Baking,per year,Otara,English
,New Zealand Diploma in Cookery (Advanced) (Level 5),21300,,"Feb, Mar, May, Jul, Sep, Oct",8 Month,,,20,20,20,20,5,5,5,5,MANIT1001,,46,5.5,42,42,42,42,42,Diploma,Food,Cookery,per year,Otara,English
,Graduate Diploma in Sales and Marketing (Level 7),21700,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Graduate Diploma,Business,Sales & Marketing,per year,Manukau,English
,New Zealand Diploma in Systems Administration (Level 6),23000,,"Feb, May, Jul, Oct",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Diploma,IT,System Administration,per year,Manukau,English
,Bachelor of Digital Technologies - Networking (Level 7),23000,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,IT,Networking,per year,Manukau,English
,Bachelor of Digital Technologies - Software and Web Development (Level 7),23000,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,IT,Software Development,per year,Manukau,English
,Bachelor of Digital Technologies - Data Analytics (Level 7),23000,,"Feb, May, Jul, Oct",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,MANIT1001,,79,6,51,51,51,51,51,Bachelor's Degree,IT,Data Analytics,per year,Manukau,English
,Postgraduate Diploma in Applied Technologies - Data analytics (Level 8),24000,,"Feb, May, Jul, Oct",1 year,,,21,21,21,21,6.5,6.5,6.5,6.5,MANIT1001,,90,6.5,59,59,59,59,59,Postgraduate Diploma,IT,Data Analytics,per year,Manukau,English
