Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,
,Advanced College Diploma - Civil Engineering Technology (T164),"14,330.00",95,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Advanced College Diploma - Interior Design Technology (T170) (Optional Co-op),"14,330.00",95,"Start: Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Advanced College Diploma - Electromechanical Engineering Technology - Building Automation (T171),"14,330.00",95,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Bachelor of Technology - Construction Management (T312),"17,160.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,65.00%,21,21,21,21,6,6,6,6,622,DLI#:O19283850612,84,6.5,
,Post-Graduate Certificate - International Fashion Management (F412),"14,600.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,70.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,Graduate Certificate - Construction Management for Internationally Educated Professionals (T403),"14,600.00",95,Start: Jan 2021,Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Graduate Certificate - Information Systems Business Analysis (T405) (Optional Co-op),"14,600.00",95,"Start: Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,Graduate Certificate - Wireless Networking (T411),"14,600.00",95,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,50.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,Graduate Certificate - Building Information Modeling Management (T412),"14,600.00",95,"Start: Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,50.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,College Certificate - Gemmology (F105),"14,330.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Jewellery Essentials (F111),"14,330.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Dance Performance Preparation (P101),"14,330.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Commercial Dance (P106),"21,495.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - General Arts and Science (R104),"14,330.00",95,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Construction Trades Techniques (T126),"21,495.00",95,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Advanced College Diploma - Building Renovation Technology (T148),"14,330.00",95,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Plumbing Techniques (T165),"14,330.00",95,"Start: May 2020, May 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Electrical Techniques (T167),"14,330.00",95,"Start: May 2020, May 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Graduate Certificate - Health Informatics Program (T402) (Optional Co-op),"14,600.00",95,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,College Certificate - Welding Techniques (T166),"14,330.00",95,"Start: May 2020, May 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,College Certificate - Blockchain Development (T175) (Optional Co-op),"21,495.00",95,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,20,20,20,20,5.5,5.5,5.5,5.5,622,DLI#:O19283850612,80,6,
,Graduate Certificate - Apparel Technical Design (F414),"21,900.00",95,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,72.00%,22,22,22,22,6,6,6,6,622,DLI#:O19283850612,88,6.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Anthropology - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Deadline: Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Anthropology - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Anthropology - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Asia-Canada Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Asia-Canada Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Asia-Canada Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Cognitive Science - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Cognitive Science - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Cognitive Science - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Criminology - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Criminology - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Criminology - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Economics - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Economics - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Economics - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in English - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in English - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in English - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in First Nations Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in First Nations Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in First Nations Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in French - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in French - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in French - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,"UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gender, Sexuality and Women's Studies - Cornerstone Entry (Optional Co-op)","26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,"UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gender, Sexuality and Women's Studies - Integrated Entry (Optional Co-op)","24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,"UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gender, Sexuality and Women's Studies - Direct Entry (Optional Co-op)","19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gerontology - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gerontology - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Gerontology - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Hellenic Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Hellenic Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Hellenic Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in History - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in History - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in History - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Humanities - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Humanities - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Humanities - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in International Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in International Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in International Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Labour Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Labour Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Labour Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Languages - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Languages - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Languages - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Latin American Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Latin American Studies - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Latin American Studies - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Linguistics - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Linguistics - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Linguistics - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Philosophy - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Philosophy - Integrated Entry (Optional Co-op),"24,768.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,15,15,,,5.5,5.5,5.5,5.5,870,DLI#:O19239078442,69,5.5,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Philosophy - Direct Entry (Optional Co-op),"19,600.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,18,18,,,6,6,5.5,5.5,870,DLI#:O19239078442,79,6,
,UTP Stage I & II - Art and Social Science (5-Semester Pathway) Transfer to SFU Bachelor of Arts in Police Studies - Cornerstone Entry (Optional Co-op),"26,933.00",0,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 11,50.00%,12,12,,,4.5,4.5,4.5,4.5,870,DLI#:O19239078442,59,5.5,
